
[00:00:00.000 --> 00:00:04.000]   [laughter]
[00:00:04.000 --> 00:00:08.000]   Nice, nice. How was the day?
[00:00:08.000 --> 00:00:16.000]   All is well, well, you know, today is particularly hot here.
[00:00:16.000 --> 00:00:22.000]   So it's getting hot the day, but all is okay.
[00:00:22.000 --> 00:00:24.000]   [laughter]
[00:00:24.000 --> 00:00:28.000]   Nice, nice. It's extremely hot and we got as well in India.
[00:00:28.000 --> 00:00:32.000]   But we're used to...
[00:00:32.000 --> 00:00:38.000]   I think India, India is always hot. It's my idea.
[00:00:38.000 --> 00:00:46.000]   One day I will visit your country, but the movies, the documentaries I have watched, it looks like so hot.
[00:00:46.000 --> 00:00:50.000]   Always into the beach, those kind of things.
[00:00:50.000 --> 00:00:58.000]   I would say not always hot. We do have our diversification in terms of climate.
[00:00:58.000 --> 00:01:02.000]   It's too diversified between North, South, East, West.
[00:01:02.000 --> 00:01:06.000]   So this is all, yeah, it just depends.
[00:01:06.000 --> 00:01:08.000]   Yeah, I'm sure, I'm sure.
[00:01:08.000 --> 00:01:10.000]   Perfect, perfect.
[00:01:10.000 --> 00:01:14.000]   So Alberto, so the thing is, there are two things today that I wanted to discuss.
[00:01:14.000 --> 00:01:18.000]   One is regarding, obviously, regarding our agentic LOS.
[00:01:18.000 --> 00:01:26.000]   And the second thing is, there is an EI infrastructure requirement that we have been asked, such as...
[00:01:26.000 --> 00:01:32.000]   So when we develop any kind of agentic applications as such.
[00:01:32.000 --> 00:01:40.000]   So in terms of infrastructure, what all would our team, that is the R&D team, require?
[00:01:40.000 --> 00:01:46.000]   So that if you give it just of those things, such as let's say storage,
[00:01:46.000 --> 00:01:52.000]   or we should be able to cater to multiple users, invoking our application.
[00:01:52.000 --> 00:01:54.000]   So that could be different things.
[00:01:54.000 --> 00:01:58.000]   It would ultimately see, we do not have to go in depth.
[00:01:58.000 --> 00:02:05.000]   I'm not saying that we need to tell them that we need a gateway, we need a load balance, so we don't have to tell all these things.
[00:02:05.000 --> 00:02:11.000]   We just have to tell them that if there is an agentic application that we're building,
[00:02:11.000 --> 00:02:14.000]   what is from your thought process, right?
[00:02:14.000 --> 00:02:24.000]   I wanted to discuss with you that what are, what all are the things that are required in terms of infrastructure which you believe, right?
[00:02:24.000 --> 00:02:34.000]   If we can have that discussion, I can keep, I'm supposed to keep a mate out to a particular person who then would comprehend those requirements
[00:02:34.000 --> 00:02:40.000]   and would convert them into the resources, maybe compute resources, maybe so and so, like all the specific things.
[00:02:40.000 --> 00:02:47.000]   Any kinds of tool licenses which he would make, which he would suggest to us, it should go to Burma, that is the CEO, right?
[00:02:47.000 --> 00:02:50.000]   So they would take a call, like what's going to happen.
[00:02:50.000 --> 00:03:00.000]   But ultimately from our end, the exact ask that is to you and me right now is when we're building an agentic application,
[00:03:00.000 --> 00:03:04.000]   be tuning a model, right?
[00:03:04.000 --> 00:03:08.000]   Or building it from scratch if there are any possibilities, right?
[00:03:08.000 --> 00:03:20.000]   So just using an LLM model, building a wrapper on top of it, all different kinds of use cases, what all are the requirements that you see in terms of infrastructure,
[00:03:20.000 --> 00:03:27.000]   what all should be there if we can have a discussion and quickly I'll keep a mate to Lakshman and the folks.
[00:03:27.000 --> 00:03:28.000]   Sure.
[00:03:28.000 --> 00:03:29.000]   That's the first thing.
[00:03:29.000 --> 00:03:31.000]   Okay.
[00:03:31.000 --> 00:03:34.000]   Can we start with that?
[00:03:34.000 --> 00:03:35.000]   Yeah, let's start with that.
[00:03:35.000 --> 00:03:45.000]   Okay Aditya, I have to say, I have a rough idea, general idea about this because I have, or we have in Kia Square,
[00:03:45.000 --> 00:03:50.000]   we have created kind of similar kind of projects.
[00:03:50.000 --> 00:04:01.000]   But to be honest, this is a little more, I have, I feel like I have to be more carefully about this because as I can see,
[00:04:01.000 --> 00:04:08.000]   this is a system that will have hundreds of requests along the day.
[00:04:08.000 --> 00:04:16.000]   If it is not, it's a very huge traffic that is expected for this.
[00:04:16.000 --> 00:04:34.000]   I need to think about, carefully about this if you don't mind, but roughly speaking, what I have to think is about the tuning is something that I have to think carefully about this.
[00:04:34.000 --> 00:04:43.000]   Because we don't need, at least in my opinion, it's not a good idea to have a general trained model.
[00:04:43.000 --> 00:04:45.000]   So we have to tune for sure.
[00:04:45.000 --> 00:04:47.000]   That's my opinion.
[00:04:47.000 --> 00:04:51.000]   So that is why I need to think what kind of model we are going to use.
[00:04:51.000 --> 00:04:56.000]   One big question that I have here, perhaps you have the answer just right now.
[00:04:56.000 --> 00:05:11.000]   It's going to be a completely local system, Aditya, or do the client wants us to use these kind of pre-vate models.
[00:05:11.000 --> 00:05:21.000]   Okay, yeah, the inclination is always towards trying to get our models into our system.
[00:05:21.000 --> 00:05:29.000]   Not the open source ones, like not the subscribed ones, like Cloud, GPT, 4 or 5 on those.
[00:05:29.000 --> 00:05:35.000]   More like when DeepSeq or something, which Lama or Lama, those kind of models.
[00:05:35.000 --> 00:05:43.000]   So the main agenda is towards that, because almost the entire direction towards utilizing EI.
[00:05:43.000 --> 00:05:48.000]   Now, people are not just accepting wrappers and all of these kind of models.
[00:05:48.000 --> 00:05:57.000]   They're expecting the models to be installed within the on premises or within the private cloud and then be trained.
[00:05:57.000 --> 00:05:59.000]   So that is the expectation.
[00:05:59.000 --> 00:06:01.000]   So keeping those things in mind.
[00:06:01.000 --> 00:06:03.000]   So if you can actually suggest that.
[00:06:03.000 --> 00:06:05.000]   That makes sense. Yes, that makes sense.
[00:06:05.000 --> 00:06:07.000]   Okay, good.
[00:06:07.000 --> 00:06:16.000]   So anyways, so I am correct, saying that we are expecting a thousand of requests a day, right?
[00:06:16.000 --> 00:06:18.000]   Yes, that's right.
[00:06:18.000 --> 00:06:20.000]   Okay.
[00:06:20.000 --> 00:06:22.000]   What about this, Aditya?
[00:06:22.000 --> 00:06:27.000]   I have a general idea about this, but please give me a while.
[00:06:27.000 --> 00:06:33.000]   I will go back to you when I have kind of proposal about the technical requirements about this.
[00:06:33.000 --> 00:06:37.000]   I really need to think carefully about this.
[00:06:37.000 --> 00:06:39.000]   What about it?
[00:06:39.000 --> 00:06:43.000]   Or do you want me to excuse just right now that kind of things?
[00:06:43.000 --> 00:06:47.000]   On a very high level, you can actually speak things out.
[00:06:47.000 --> 00:06:49.000]   Like, let's say, like what are we doing?
[00:06:49.000 --> 00:06:55.000]   Like storage and like, you know, an estimation, let's say for agent together is kind of a platform.
[00:06:55.000 --> 00:06:59.000]   So multiple users would be there.
[00:06:59.000 --> 00:07:01.000]   We are expecting multiple users.
[00:07:01.000 --> 00:07:03.000]   So that is one thing.
